date,close_bbg
8/26/2020,1629.28
8/27/2020,1630.46
8/28/2020,1640.78
8/31/2020,1638.94
9/1/2020,1653.67
9/2/2020,1675.67
9/3/2020,1611.41
9/4/2020,1596.1
9/8/2020,1546.9
9/9/2020,1580.87
9/10/2020,1551.03
9/11/2020,1549.92
9/14/2020,1567.06
9/15/2020,1576.91
9/16/2020,1563.88
9/17/2020,1548.53
9/18/2020,1530.58
9/21/2020,1519.4
9/22/2020,1538.48
9/23/2020,1499.69
9/24/2020,1504.5
9/25/2020,1529
9/28/2020,1553.01
9/29/2020,1545.72
9/30/2020,1560.58
10/1/2020,1569.88
10/2/2020,1547.08
10/5/2020,1575.55
10/6/2020,1550.15
10/7/2020,1577.8
10/8/2020,1587.73
10/9/2020,1604.76
10/12/2020,1637.55
10/13/2020,1628.5
10/14/2020,1615.32
10/15/2020,1610.76
10/16/2020,1610.76
10/19/2020,1582.32
10/20/2020,1590.19
10/21/2020,1587.19
10/22/2020,1593.5
10/23/2020,1596.74
10/26/2020,1568.65
10/27/2020,1569.14
10/28/2020,1509.64
10/29/2020,1530.28
10/30/2020,1507.65
11/2/2020,1520.31
11/3/2020,1544.72
11/4/2020,1590.12
11/5/2020,1621.23
11/6/2020,1620.89
11/9/2020,1628.51
11/10/2020,1623
11/11/2020,1640.63
11/12/2020,1626.61
11/13/2020,1644.89
11/16/2020,1661.52
11/17/2020,1653.45
11/18/2020,1634.16
11/19/2020,1640.51
11/20/2020,1628.35
11/23/2020,1634.28
11/24/2020,1662.49
11/25/2020,1662.28
11/27/2020,1665.87
11/30/2020,1658.77
12/1/2020,1679.49
12/2/2020,1685.02
12/3/2020,1682.24
12/4/2020,1692.62
12/7/2020,1691.08
12/8/2020,1696.04
12/9/2020,1681.08
12/10/2020,1679.25
12/11/2020,1679.17
12/14/2020,1671.72
12/15/2020,1691.58
12/16/2020,1696.26
12/17/2020,1703.8
12/18/2020,1695.72
12/21/2020,1693.02
12/22/2020,1689.1
12/23/2020,1689.3
12/24/2020,1694.81
12/28/2020,1715.21
12/29/2020,1713.22
12/30/2020,1711.35
12/31/2020,1720.5
1/4/2021,1696.86
1/5/2021,1708.22
1/6/2021,1706.75
1/7/2021,1734.79
1/8/2021,1747.33
1/11/2021,1732.24
1/12/2021,1730.2
1/13/2021,1739.67
1/14/2021,1729.74
1/15/2021,1716.11
1/19/2021,1731.42
1/20/2021,1761.98
1/21/2021,1766.86
1/22/2021,1764.21
1/25/2021,1774.64
1/26/2021,1775.81
1/27/2021,1731.89
1/28/2021,1745.55
1/29/2021,1709.75
2/1/2021,1737.1
2/2/2021,1760.96
2/3/2021,1765.04
2/4/2021,1783.94
2/5/2021,1790.11
2/8/2021,1800.77
2/9/2021,1797.68
2/10/2021,1794.74
2/11/2021,1796.46
2/12/2021,1803.12
2/16/2021,1802.16
2/17/2021,1803.14
2/18/2021,1793.98
2/19/2021,1782.68
2/22/2021,1764.92
2/23/2021,1765.91
2/24/2021,1784.24
2/25/2021,1739.7
2/26/2021,1731.42
3/1/2021,1773.4
3/2/2021,1757.74
3/3/2021,1733.59
3/4/2021,1713.77
3/5/2021,1743.71
3/8/2021,1728.99
3/9/2021,1760.13
3/10/2021,1769.8
3/11/2021,1789.05
3/12/2021,1786.83
3/15/2021,1795.06
3/16/2021,1797.39
3/17/2021,1802.18
3/18/2021,1772.75
3/19/2021,1771.87
3/22/2021,1788.06
3/23/2021,1779.83
3/24/2021,1765.97
3/25/2021,1771.45
3/26/2021,1798.1
3/29/2021,1801.01
3/30/2021,1792.63
3/31/2021,1801.88
4/1/2021,1822.54
4/5/2021,1852.56
4/6/2021,1850.1
4/7/2021,1857.72
4/8/2021,1867.07
4/9/2021,1882.89
4/12/2021,1881.82
4/13/2021,1891.6
4/14/2021,1879.42
4/15/2021,1902.12
4/16/2021,1908.86
4/19/2021,1899.05
4/20/2021,1885.68
4/21/2021,1898.75
4/22/2021,1878.7
4/23/2021,1898.23
4/26/2021,1901.59
4/27/2021,1900.3
4/28/2021,1899.22
4/29/2021,1912.85
4/30/2021,1900.83
5/3/2021,1904.78
5/4/2021,1887.72
5/5/2021,1889.01
5/6/2021,1908.27
5/7/2021,1919.28
5/10/2021,1895.01
5/11/2021,1880.26
5/12/2021,1841.42
5/13/2021,1862.48
5/14/2021,1890.32
5/17/2021,1884.56
5/18/2021,1868.68
5/19/2021,1864.75
5/20/2021,1886.16
5/21/2021,1883.16
5/24/2021,1905.15
5/25/2021,1901.96
5/26/2021,1904.83
5/27/2021,1903.67
5/28/2021,1904.55
6/1/2021,1900.33
6/2/2021,1903.85
6/3/2021,1895.87
6/4/2021,1915.73
6/7/2021,1917.81
6/8/2021,1916.87
6/9/2021,1915.81
6/10/2021,1926.72
6/11/2021,1929.59
6/14/2021,1937.21
6/15/2021,1931.18
6/16/2021,1922.28
6/17/2021,1928.11
6/18/2021,1906.08
6/21/2021,1928.24
6/22/2021,1940.89
6/23/2021,1938.58
6/24/2021,1949.19
6/25/2021,1952.49
6/28/2021,1961.45
6/29/2021,1962.23
6/30/2021,1964.75
7/1/2021,1974.69
7/2/2021,1993.12
7/6/2021,1993.6
7/7/2021,2001.37
7/8/2021,1986.97
7/9/2021,2005.92
7/12/2021,2013.29
7/13/2021,2010.58
7/14/2021,2015.96
7/15/2021,2008.48
7/16/2021,1992.85
7/19/2021,1962.91
7/20/2021,1988.66
7/21/2021,2003.54
7/22/2021,2011.15
7/23/2021,2031.92
7/26/2021,2038.49
7/27/2021,2025.4
7/28/2021,2023.59
7/29/2021,2027.95
7/30/2021,2011.75
8/2/2021,2008.71
8/3/2021,2024.33
8/4/2021,2016.1
8/5/2021,2030.41
8/6/2021,2031.71
8/9/2021,2030.04
8/10/2021,2031.95
8/11/2021,2035.51
8/12/2021,2045.41
8/13/2021,2049.53
8/16/2021,2056.39
8/17/2021,2040.97
8/18/2021,2018.72
8/19/2021,2022.99
8/20/2021,2041.48
8/23/2021,2059.33
8/24/2021,2060.99
8/25/2021,2062.68
8/26/2021,2051.39
8/27/2021,2068.29
8/30/2021,2083
8/31/2021,2079.17
9/1/2021,2079.29
9/2/2021,2081.95
9/3/2021,2082.79
9/7/2021,2081.64
9/8/2021,2077.74
9/9/2021,2065.7
9/10/2021,2048.95
9/13/2021,2054.74
9/14/2021,2042.73
9/15/2021,2059.69
9/16/2021,2056.46
9/17/2021,2037.62
9/20/2021,2001.21
9/21/2021,2001.08
9/22/2021,2018.05
9/23/2021,2041.07
9/24/2021,2045.17
9/27/2021,2038.13
9/28/2021,1994.6
9/29/2021,1998.77
9/30/2021,1977.5
10/1/2021,2001.87
10/4/2021,1972.81
10/5/2021,1995.3
10/6/2021,2006.15
10/7/2021,2021.69
